solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,ra_dec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.64E+18,65408,973786105,2015,44.99615221,14.37992933,0.005616348,6.517027951,0.9922,31,0,31,0,0,0,0.891361844,3.211236179,false,1.5695707,0.56867576,,2,5,false,0.43375897,0.4324966,0.54358345,0.83828545,-116.46045,13.9733305,-46.44837,25.226347,30,1567.25511,5.856072856,17.53692083,NOT_AVAILABLE,176.9510716,-48.90152238,42.53372303,-16.32957216
1.64E+18,34359896320,1010840134,2015,45.00497007,0.156230728,0.019874651,0.528851219,-0.61935,60,0,60,0,0,0,0.494174413,54.5504029,false,1.706128,3.67268,,2,8,false,0.67304224,0.18623264,0.78783804,0.9107339,-116.56138,10.280677,-44.287266,28.650621,68,40086.23896,27.1598452,14.01728179,NOT_AVAILABLE,176.9447589,-48.88527959,42.54686221,-16.31852435
1.64E+18,34361129088,388985243,2015,45.00431227,0.347814329,0.021042471,1.100095064,-0.66385,53,0,53,0,0,0,0.532440562,1.803463704,false,1.1930124,1.0081722,,2,8,false,0.70151556,0.320507,0.79869306,0.90236515,-125.77541,18.417574,-42.16853,28.207079,52,1761.880082,19.83130372,17.4098292,NOT_AVAILABLE,176.9427859,-48.884943,42.54656349,-16.31721503
1.64E+18,3.09E+11,590730619,2015,44.99503741,2.168151536,0.038151967,1.215308937,-0.7956,61,0,61,0,0,0,1.525817771,1.228456703,false,1.2036664,0.070923366,,2,10,false,0.29365668,0.69462836,0.29740977,0.89781886,-119.107704,21.855402,-38.366596,25.310766,61,275.45129,2.733062076,19.42465804,NOT_AVAILABLE,176.9142654,-48.87974693,42.54254849,-16.29813864
1.64E+18,3.44E+11,329156827,2015,44.96389223,11.88109808,0.043596457,5.411748048,-0.99875,53,0,52,0,1,0,0.48618768,0.719461979,false,1.0917889,0.5588871,,2,9,false,0.2763959,0.6515838,0.24106677,0.9459233,-97.36848,24.034065,-32.833885,27.21301,53,1025.72331,10.07398941,17.9971945,NOT_AVAILABLE,176.8754184,-48.89838124,42.51318875,-16.28380339
1.64E+18,5.15E+11,260581828,2015,44.99832638,1.953613218,0.066334635,1.112198874,-0.81775,52,0,52,0,0,0,0,0,false,1,0.08911285,,2,9,false,0.21581903,0.64998794,0.20400557,0.889891,-94.5951,19.781263,-45.181236,24.463037,52,292.2971106,2.363495144,19.36020876,NOT_AVAILABLE,176.8869001,-48.85781382,42.5544285,-16.27215704
1.64E+18,5.50E+11,278964178,2015,45.04828203,0.143345693,0.048258592,0.150783521,-0.2803,69,0,69,0,0,0,0.576001517,29.87118633,false,2.2834213,2.509169,,2,9,false,0.5748535,0.47039524,0.6185841,0.9170165,-125.95466,21.985344,-40.70922,27.246462,77,18064.66135,18.66449706,14.8826955,NOT_AVAILABLE,176.9593603,-48.8343945,42.59867419,-16.30407289
1.64E+18,8.25E+11,201645987,2015,45.02361645,7.686523932,0.068421125,14.3004108,-0.9992,41,0,41,0,0,0,0.381177028,2.517964597,false,1.2335583,2.4381435,,2,8,false,0.7751459,0.5471739,0.8357175,0.88075393,-138.44899,22.225468,-39.211887,27.421402,40,4228.838911,8.2660221,16.45921721,NOT_AVAILABLE,176.9112998,-48.83816357,42.58025514,-16.27757097
1.64E+18,9.28E+11,1018609930,2015,45.0267273,18.85105747,0.08170174,46.24057204,0.87765,35,0,35,0,0,0,0,4.59E-16,false,1,0.14009042,,2,7,false,0.74246943,0.4742414,0.8220183,0.86047256,-135.34503,20.154688,-40.679493,27.308582,35,327.8159295,4.918326613,19.23569493,NOT_AVAILABLE,176.9000588,-48.82670498,42.5874056,-16.26578381
1.64E+18,1.10E+12,442633663,2015,44.96654544,1.672163799,0.046310229,0.932317008,-0.7829,60,0,59,0,1,0,1.051867935,0.819794509,false,1.1288351,0.12494417,,2,10,false,0.28444684,0.71784496,0.28360942,0.90305763,-119.581665,22.329224,-36.90664,25.379011,59,356.8090328,2.62247995,19.14368046,NOT_AVAILABLE,176.8752512,-48.89458756,42.51666029,-16.28198682
1.64E+18,1.27E+12,1115856713,2015,44.99327112,0.216263478,0.076335901,0.144935116,-0.3514,65,0,65,0,0,0,0.577306104,9.699398798,false,1.6406429,1.8952553,,2,10,false,0.31503153,0.48063803,0.31484106,0.89608085,-92.93783,18.331495,-46.682346,25.836508,64,5714.666962,8.94543088,16.13229275,NOT_AVAILABLE,176.8706271,-48.85450574,42.55244638,-16.26111347
1.64E+18,1.34E+12,201575893,2015,44.96907629,0.682168748,0.084425892,0.373422106,-0.7805,61,0,60,0,1,0,0.596490977,1.863443861,false,1.1868778,0.7304064,,2,10,false,0.2911649,0.72162277,0.29323852,0.89859,-122.01174,22.109463,-37.472343,25.172558,60,1411.076794,13.59446764,17.65089344,NOT_AVAILABLE,176.8362337,-48.86628892,42.53082063,-16.24628778
1.64E+18,1.34E+12,5951362,2015,44.97845894,53.3501793,0.092580812,24.70888517,-0.99985,51,0,49,0,2,0,0.846001789,1.261489443,false,1.1639462,0.2696606,,2,9,false,0.26260674,0.9769583,0.24516717,0.90992683,-149.03046,23.429276,-28.083052,23.500828,51,620.8401408,5.899377377,18.54232059,NOT_AVAILABLE,176.8372293,-48.85387491,42.54265379,-16.24124106
1.64E+18,1.37E+12,920426374,2015,44.93280091,1.040805407,0.064811721,0.583972577,-0.8395,71,0,70,0,1,0,1.220154888,3.998605395,false,1.420232,0.26096374,,2,11,false,0.36829522,0.73116744,0.38188452,0.90449506,-130.61737,22.56228,-36.94691,25.417435,69,804.4216363,2.771767727,18.26106071,NOT_AVAILABLE,176.8193447,-48.90600397,42.48870589,-16.25440288
1.64E+18,1.51E+12,84985118,2015,44.9526503,1.606168738,0.084951921,0.875325981,-0.839,69,0,68,0,1,0,0,6.33E-16,false,1,0.1478544,,2,11,false,0.36159408,0.7517366,0.37118676,0.90358746,-131.93065,22.696396,-36.41312,25.28689,68,362.6187518,4.12701599,19.12614442,NOT_AVAILABLE,176.8183035,-48.87773461,42.51462405,-16.24096933
1.64E+18,1.61E+12,1072871075,2015,44.95115453,0.496565105,0.105309011,0.335391481,-0.5374,79,0,79,0,0,0,1.346761035,9.417141458,false,1.7434866,0.31755793,,2,10,false,0.3807294,0.56439704,0.40297925,0.9070579,-116.61922,21.150263,-41.11628,26.131811,85,1311.494046,5.143534351,17.73035426,NOT_AVAILABLE,176.7944741,-48.86465872,42.51935098,-16.22106832
1.64E+18,1.65E+12,351948544,2015,44.9960582,0.155590005,0.084921878,0.117742171,-0.064,70,0,70,0,0,0,0.49809369,8.314440741,false,1.5347592,2.380499,,2,9,false,0.39714798,0.26894015,0.38843718,0.89634204,-72.2004,8.346001,-53.618248,26.37784,78,6016.654908,8.316853042,16.07638231,NOT_AVAILABLE,176.8641818,-48.8465371,42.55784271,-16.253721
1.64E+18,1.68E+12,872201236,2015,45.01379105,2.772176223,0.087742597,1.475105713,-0.8563,59,0,59,0,0,0,0.831506302,0.331620013,false,1.0551343,0.067899264,,2,10,false,0.28938857,0.7495876,0.28962055,0.89947724,-125.05845,22.35302,-36.522667,25.030005,59,204.3124218,2.355247735,19.74903313,NOT_AVAILABLE,176.8798105,-48.83181982,42.57636426,-16.256219
1.64E+18,1.72E+12,813806903,2015,44.98309713,1.104445172,0.096410497,0.605834058,-0.76025,60,0,60,0,0,0,0.684037313,0.956624702,false,1.1191788,0.28194776,,2,10,false,0.28470084,0.6899288,0.2866668,0.8964126,-117.285515,21.708391,-38.729557,25.261309,60,658.1820452,2.995584295,18.47890499,NOT_AVAILABLE,176.8379416,-48.84787829,42.5484416,-16.23893878
1.64E+18,1.75E+12,1021139689,2015,45.00503858,0.644877393,0.101940363,0.463657608,-0.31665,61,0,61,0,0,0,0.468438657,0.281387639,false,1.0352325,0.1980743,,2,8,false,0.31431225,0.42428425,0.305406,0.8917074,-78.56465,15.617179,-51.26027,25.554262,60,433.8687415,2.950487528,18.93137416,NOT_AVAILABLE,176.8550596,-48.82825527,42.57197946,-16.2400802
1.64E+18,2.20E+12,790860275,2015,45.095578,0.838256984,0.085309401,0.566988374,-0.77635,69,0,67,0,2,0,0.86596233,2.210005244,false,1.2542505,0.35824424,,2,11,false,0.61205035,0.7128479,0.6394449,0.85945827,-143.91728,20.883205,-39.78304,24.39067,67,891.6593934,3.272273166,18.14927259,NOT_AVAILABLE,176.9686507,-48.77462639,42.65708895,-16.28248661
1.64E+18,2.20E+12,269964057,2015,45.08135581,11.01522621,0.081706031,6.681021355,0.45895,52,0,50,0,2,0,9.055595905,11.06570541,false,2.840748,0.007885918,,2,8,false,0.54340535,0.66454315,0.5939476,0.8322901,-141.51451,18.585503,-42.53262,23.379484,50,127.6439429,2.999309699,20.25976954,NOT_AVAILABLE,176.957618,-48.78737017,42.64182254,-16.28177132
1.64E+18,2.34E+12,1125415564,2015,45.10466303,0.649206957,0.098518463,0.610497168,-0.4126,79,0,79,0,0,0,0,0,false,1,0.17933525,,2,11,false,0.5760625,0.53559154,0.64429486,0.86628056,-132.9516,19.272076,-42.019547,25.553093,79,408.3363805,2.360694171,18.99722488,NOT_AVAILABLE,176.9637757,-48.75891996,42.67016445,-16.27251265
1.64E+18,2.41E+12,422277103,2015,45.09616715,2.205146978,0.105423752,1.44649188,-0.8035,71,0,71,0,0,0,0.463758792,0.107144724,false,1.0164808,0.074428014,,2,11,false,0.6335658,0.7266691,0.6537217,0.8639884,-144.50038,21.541925,-39.013542,24.717205,71,236.5328367,2.578600138,19.59004146,NOT_AVAILABLE,176.9472907,-48.76024853,42.66380522,-16.2634244
1.64E+18,2.54E+12,879777187,2015,45.05702882,0.616398813,0.114981782,0.41648593,-0.75775,51,0,51,0,0,0,0,0,false,1,0.91892093,,2,9,false,0.5532492,0.6345798,0.58973235,0.8910189,-134.80084,22.412579,-38.47503,26.451584,60,1276.918666,3.345120232,17.75936198,NOT_AVAILABLE,176.8956343,-48.78179119,42.62773469,-16.24283326
1.64E+18,2.75E+12,434751122,2015,45.1404859,43.84150729,0.120844103,20.32884919,-0.9992,61,0,61,0,0,0,0,-6.71E-16,false,1,0.13197461,,2,9,false,0.7297263,0.96695167,0.66745585,0.87115556,-155.9835,23.157177,-35.77163,23.307291,61,257.7534222,2.749363175,19.49675896,NOT_AVAILABLE,176.9770642,-48.71762947,42.71265023,-16.26163617
1.64E+18,2.75E+12,527624082,2015,45.12196847,86.21820752,0.121683837,39.89998414,-0.9995,53,0,53,0,0,0,1.965471668,1.174735777,false,7.6320853,0.04755128,,2,8,false,0.6894962,0.9650008,0.6219484,0.8632339,-156.96738,22.323818,-36.803837,22.415926,52,178.1861625,2.386510757,19.89758513,NOT_AVAILABLE,176.9566772,-48.73038576,42.69445963,-16.25542018
1.64E+18,2.85E+12,591268808,2015,45.13214316,0.206402663,0.137848418,0.158737949,-0.2681,71,71,71,66,0,5,0.844118276,105.7877049,false,8.242132,1.3892678,0.8456364,2,8,false,0.63675404,0.7243257,0.64583504,0.87060165,-144.51581,21.776506,-39.17322,24.536875,71,198381.4276,95.34628252,12.28101754,NOT_AVAILABLE,176.9497301,-48.71184359,42.70951662,-16.24293597
