solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
1.63537841078193E+018,65408,973786105,2015,44.9961522094,14.3799293305,0.0056163478,6.5170279515,,,,,,,0.9922,,,,,,,,,,31,0,31,0,0,0,,0.8913618444,3.2112361792,false,1.5695707,0.56867576,,2,5,false,0.43375897,0.4324966,0.54358345,0.83828545,-116.46045,13.9733305,-46.44837,25.226347,30,1567.2551097906,5.8560728561,17.5369208277,NOT_AVAILABLE,176.9510716069,-48.9015223754,42.5337230329,-16.329572161
1.63537841078193E+018,34359896320,1010840134,2015,45.0049700664,0.1562307285,0.0198746513,0.5288512195,,,,,,,-0.61935,,,,,,,,,,60,0,60,0,0,0,,0.4941744131,54.5504028952,false,1.706128,3.67268,,2,8,false,0.67304224,0.18623264,0.78783804,0.9107339,-116.56138,10.280677,-44.287266,28.650621,68,40086.2389581904,27.1598452027,14.0172817863,NOT_AVAILABLE,176.9447588536,-48.8852795914,42.5468622108,-16.3185243451
1.63537841078193E+018,34361129088,388985243,2015,45.0043122656,0.3478143292,0.0210424715,1.1000950644,,,,,,,-0.66385,,,,,,,,,,53,0,53,0,0,0,,0.5324405623,1.8034637042,false,1.1930124,1.0081722,,2,8,false,0.70151556,0.320507,0.79869306,0.90236515,-125.77541,18.417574,-42.16853,28.207079,52,1761.8800815465,19.8313037168,17.4098291994,NOT_AVAILABLE,176.9427858542,-48.8849430023,42.5465634898,-16.3172150263
1.63537841078193E+018,309238066432,590730619,2015,44.9950374101,2.1681515359,0.038151967,1.2153089367,,,,,,,-0.7956,,,,,,,,,,61,0,61,0,0,0,,1.5258177715,1.2284567029,false,1.2036664,0.070923366,,2,10,false,0.29365668,0.69462836,0.29740977,0.89781886,-119.107704,21.855402,-38.366596,25.310766,61,275.4512899505,2.7330620757,19.4246580375,NOT_AVAILABLE,176.9142654493,-48.8797469347,42.5425484913,-16.2981386388
1.63537841078193E+018,343597448960,329156827,2015,44.9638922305,11.881098084,0.043596457,5.4117480481,,,,,,,-0.99875,,,,,,,,,,53,0,52,0,1,0,,0.48618768,0.719461979,false,1.0917889,0.5588871,,2,9,false,0.2763959,0.6515838,0.24106677,0.9459233,-97.36848,24.034065,-32.833885,27.21301,53,1025.7233096095,10.0739894117,17.9971945014,NOT_AVAILABLE,176.8754184409,-48.8983812399,42.5131887508,-16.2838033943
1.63537841078193E+018,515396233856,260581828,2015,44.9983263807,1.9536132181,0.0663346354,1.1121988744,,,,,,,-0.81775,,,,,,,,,,52,0,52,0,0,0,,0,0,false,1,0.08911285,,2,9,false,0.21581903,0.64998794,0.20400557,0.889891,-94.5951,19.781263,-45.181236,24.463037,52,292.2971105621,2.3634951443,19.3602087582,NOT_AVAILABLE,176.8869001284,-48.8578138208,42.5544284978,-16.2721570382
1.63537841078193E+018,549755818112,278964178,2015,45.0482820328,0.1433456931,0.0482585916,0.1507835212,,,,,,,-0.2803,,,,,,,,,,69,0,69,0,0,0,,0.5760015172,29.8711863338,false,2.2834213,2.509169,,2,9,false,0.5748535,0.47039524,0.6185841,0.9170165,-125.95466,21.985344,-40.70922,27.246462,77,18064.6613528133,18.6644970583,14.8826955025,NOT_AVAILABLE,176.959360258,-48.8343944993,42.5986741931,-16.3040728939
1.63537841078193E+018,824633879296,201645987,2015,45.023616454,7.6865239323,0.0684211252,14.3004107962,,,,,,,-0.9992,,,,,,,,,,41,0,41,0,0,0,,0.3811770281,2.5179645966,false,1.2335583,2.4381435,,2,8,false,0.7751459,0.5471739,0.8357175,0.88075393,-138.44899,22.225468,-39.211887,27.421402,40,4228.8389108144,8.2660220998,16.4592172091,NOT_AVAILABLE,176.9112997714,-48.8381635736,42.5802551417,-16.2775709675
1.63537841078193E+018,927713095040,1018609930,2015,45.0267272971,18.8510574712,0.08170174,46.2405720394,,,,,,,0.87765,,,,,,,,,,35,0,35,0,0,0,,0,4.58653363727921E-16,false,1,0.14009042,,2,7,false,0.74246943,0.4742414,0.8220183,0.86047256,-135.34503,20.154688,-40.679493,27.308582,35,327.8159295361,4.9183266127,19.2356949304,NOT_AVAILABLE,176.9000588158,-48.8267049824,42.5874055992,-16.2657838119
1.63537841078193E+018,1099511693312,442633663,2015,44.9665454431,1.672163799,0.0463102291,0.9323170077,,,,,,,-0.7829,,,,,,,,,,60,0,59,0,1,0,,1.0518679348,0.819794509,false,1.1288351,0.12494417,,2,10,false,0.28444684,0.71784496,0.28360942,0.90305763,-119.581665,22.329224,-36.90664,25.379011,59,356.8090328491,2.6224799499,19.1436804631,NOT_AVAILABLE,176.8752512475,-48.8945875597,42.5166602853,-16.2819868182
